gamma_theory,fidelity_theory,coherence_theory,throat_radius_theory
0.0,1.0,1.0,0.707
0.005025125628140704,0.9273939001417731,0.9630129283357379,0.6981736484431147
0.010050251256281407,0.8600594460201689,0.927393900141773,0.6894574871009476
0.01507537688442211,0.7976138839984173,0.8930923154962298,0.6808501403333668
0.020100502512562814,0.73970225068852,0.860059446020169,0.6723502496740499
0.02512562814070352,0.6859953552096741,0.8282483656546955,0.6639564736160827
0.03015075376884422,0.6361879079470406,0.7976138839984173,0.6556674874002336
0.035175879396984924,0.5899967851740415,0.7681124821105575,0.6474819828058713
0.04020100502512563,0.5471594196736621,0.73970225068852,0.639398667944494
0.04522613065326633,0.5074323082104668,0.7123428305320878,0.6314162670558344
0.05025125628140704,0.470589627369247,0.6859953552096741,0.623533520306512
0.05527638190954774,0.43642194989222965,0.660622395845183,0.6157491835911972
0.06030150753768844,0.40473505421803235,0.6361879079470407,0.6080620283362594
0.06532663316582915,0.37534882045535295,0.6126571802038665,0.6004708413058655
0.07035175879396985,0.348096206515704,0.5899967851740414,0.5929744244104989
0.07537688442211056,0.3228222985851548,0.5681745317991249,0.5855715945178697
0.08040201005025126,0.2993834305376187,0.5471594196736621,0.5782611832661856
0.08542713567839195,0.27764636728410585,0.5269215950064163,0.5710420368797531
0.09045226130653267,0.25748754741580204,0.5074323082104667,0.5639130159868809
0.09547738693467336,0.23879238083588056,0.4886638730619244,0.5568729954400583
0.10050251256281408,0.22145459738752676,0.47058962736924703,0.5499208641383755
0.10552763819095477,0.20537564277554457,0.4531838950972823,0.5430555248521641
0.11055276381909548,0.19046411834773586,0.4364219498922297,0.5362758940498246
0.11557788944723618,0.176635261551571,0.4202799799557088,0.5295809017268165
0.12060301507537688,0.16381046411287364,0.4047350542180324,0.5229694912367837
0.12562814070351758,0.15191682519767183,0.389765089762631,0.5164406191247874
0.1306532663316583,0.14088673701722482,0.375348820455353,0.5099932549626223
0.135678391959799,0.13065750052065248,0.36146576673407466,0.5036263811861861
0.1407035175879397,0.12117096899062368,0.34809620651570405,0.4973389929348831
0.1457286432160804,0.11237321751617235,0.33522114717924995,0.49113009789302936
0.15075376884422112,0.10421423646380286,0.3228222985851548,0.4849987161332396
0.15577889447236182,0.09664764720446307,0.31088204709256384,0.47894387996176857
0.16080402010050251,0.08963043848047315,0.2993834305376187,0.47296463376578385
0.1658291457286432,0.0831227219138233,0.28831011413723123,0.46706003386254435
0.1708542713567839,0.07708750526606063,0.2776463672841059,0.46122914835046297
0.17587939698492464,0.0714904821608914,0.2673770412000466,0.4554710569620273
0.18090452261306533,0.06629983707420493,0.2574875474158021,0.44978485091855774
0.18592964824120603,0.06148606448301105,0.24796383704687877,0.4441696327867778
0.19095477386934673,0.05702180114526819,0.2387923808358805,0.43862451633717564
0.19597989949748745,0.05288167055721886,0.22996014993302397,0.4331486264041336
0.20100502512562815,0.04904213870407158,0.22145459738752676,0.4277410987478043
0.20603015075376885,0.04548138028406274,0.213263640323574,0.4224010799177102
0.21105527638190955,0.04217915464546809,0.20537564277554457,0.41712772711804724
0.21608040201005024,0.039116690731343655,0.19777939915811166,0.411920208074669
0.22110552763819097,0.03627658037798033,0.19046411834773586,0.40677770090373216
0.22613065326633167,0.033642679360541695,0.18341940835293766,0.4016993939819813
0.23115577889447236,0.031200015623391895,0.176635261551571,0.3966844858186536
0.23618090452261306,0.02893470417346166,0.17010204047412736,0.39173218492898215
0.24120603015075376,0.026833868152875064,0.16381046411287364,0.38684170970927917
0.24623115577889448,0.024885565642184908,0.1577515947373747,0.382012288313578
0.25125628140703515,0.023078721778139986,0.15191682519767186,0.37724315853181584
0.2562814070351759,0.021403065800116104,0.14629786669707834,0.3725335676695363
0.2613065326633166,0.019849072667360666,0.14088673701722482,0.367882772429095
0.2663316582914573,0.01840790891518109,0.13567574917862474,0.36329003879234706
0.271356783919598,0.017071382442304293,0.13065750052065245,0.35875464190479994
0.2763819095477387,0.015831895943980375,0.12582486218542174,0.35427586596121263
0.2814070351758794,0.014682403726126687,0.12117096899062368,0.34985300409262193
0.2864321608040201,0.013616371655028723,0.11668920967693938,0.3454853582547805
0.2914572864321608,0.012627740014936982,0.11237321751617234,0.3411722391179868
0.2964824120603015,0.011710889062428733,0.10821686126675793,0.33691296595829073
0.30150753768844224,0.010860607081733411,0.10421423646380283,0.33270686655005766
0.3065326633165829,0.010072060759436115,0.10035965703127983,0.32855327705987303
0.31155778894472363,0.009340767710158362,0.09664764720446309,0.32445154194177234
0.3165829145728643,0.008662570997042108,0.09307293375112932,0.3204010138337786
0.32160804020100503,0.008033615502201885,0.08963043848047317,0.31640105345573133
0.32663316582914576,0.007450326012826417,0.08631527102909668,0.3124510295083917
0.3316582914572864,0.006909386898362801,0.0831227219138233,0.3085503185738064
0.33668341708542715,0.0064077232632611435,0.08004825584146817,0.30469830501691614
0.3417085427135678,0.005942483468144926,0.07708750526606063,0.3008943808883923
0.34673366834170855,0.0055110229200509295,0.07423626418436564,0.29713794582868613
0.35175879396984927,0.0051108890395967325,0.0714904821608914,0.2934284069732763
0.35678391959798994,0.0047398073196234574,0.06884625857389388,0.28976517885909964
0.36180904522613067,0.004395668396066119,0.06629983707420493,0.28614768333214885
0.36683417085427134,0.0040765160575576935,0.06384760024901244,0.28257534945622553
0.37185929648241206,0.0037805361256089925,0.06148606448301105,0.27904761342283035
0.3768844221105528,0.0035060461421553926,0.059211875009624486,0.2755639184621801
0.38190954773869346,0.003251485805850509,0.05702180114526819,0.27212371475533426
0.3869346733668342,0.0030154081027433176,0.05491273169988284,0.26872645934741884
0.3919597989949749,0.0027964710809222286,0.05288167055721887,0.26537161606193455
0.3969849246231156,0.002593430222370147,0.05092573241859313,0.26205865541613343
