N_qubits,gamma,R,traversal_time
4,0.0,0.7071067811865476,4.442882938158366
4,0.005404040404040404,0.6976179390825237,4.383262784868216
4,0.010808080808080808,0.688256430115263,4.324442689272095
4,0.016212121212121212,0.6790205455696728,4.266411915196435
4,0.021616161616161617,0.6699085996603334,4.209159870539058
4,0.02702020202020202,0.6609189292238006,4.152676105335849
4,0.032424242424242425,0.6520498934150338,4.096950309853356
4,0.03782828282828283,0.6432998734079021,4.041972312707018
4,0.04323232323232323,0.6346672720997047,3.9877320790046134
4,0.04863636363636364,0.6261505138196609,3.9342197085146418
4,0.05404040404040404,0.6177480440413082,3.8814254338592757
4,0.059444444444444446,0.6094583290987624,3.8293396187315647
4,0.06484848484848485,0.6012798559067839,3.7779527561365636
4,0.07025252525252526,0.5932111316846009,3.727255466656059
4,0.07565656565656566,0.5852506836834389,3.677238496736591
4,0.08106060606060606,0.5773970589177062,3.6278927170004374
4,0.08646464646464647,0.5696488238997868,3.579209120579272
4,0.09186868686868688,0.5620045643783921,3.531178821470177
4,0.09727272727272727,0.5544628850804242,3.4837930529137244
4,0.10267676767676767,0.5470224094563024,3.4370431657938147
4,0.10808080808080808,0.539681779428708,3.390920627058992
4,0.1134848484848485,0.5324396551447003,3.3454170181649463
4,0.11888888888888889,0.5252947147311587,3.3005240335379087
4,0.12429292929292929,0.518245654053508,3.256233479058676
4,0.1296969696969697,0.5112911864776795,3.2125372705669735
4,0.1351010101010101,0.5044300426352676,3.1694274323858855
4,0.14050505050505052,0.49766097019183786,3.1268960958660936
4,0.1459090909090909,0.49098273361834377,3.084935497949646
4,0.15131313131313132,0.48439411396561066,3.043537979752999
4,0.15671717171717173,0.477893908641847,3.0026959851690767
4,0.1621212121212121,0.4714809311931397,2.962402059488085
4,0.16752525252525252,0.4651540110868968,2.9226488480368404
4,0.17292929292929293,0.45891199349819467,2.8834290948363503
4,0.17833333333333334,0.4527537390989932,2.844735641277414
4,0.18373737373737375,0.44667812385017913,2.806561424813989
4,0.18914141414141414,0.4406840387964003,2.768899477674101
4,0.19454545454545455,0.4347703898636524,2.7317429255880414
4,0.19994949494949496,0.42893609765958324,2.6950849865336415
4,0.20535353535353534,0.4231800972764753,2.658918969498378
4,0.21075757575757575,0.4175013380968733,2.623238273258091
4,0.21616161616161617,0.4118987836018191,2.5880363851720936
4,0.22156565656565658,0.4063714111816612,2.553306879994448
4,0.226969696969697,0.4009182119494014,2.51904341870119
4,0.23237373737373737,0.3955381905565478,2.4852397473333006
4,0.23777777777777778,0.3902303650114379,2.4518896958551935
4,0.2431818181818182,0.3849937664999999,2.418987177028528
4,0.24858585858585858,0.3798274392089197,2.3865261853011317
4,0.253989898989899,0.37473044015117996,2.354500795710833
4,0.2593939393939394,0.3697018389939414,2.3229051628040054
4,0.2647979797979798,0.36474071788873264,2.2917335195686195
4,0.2702020202020202,0.35984617130392,2.2609801763816186
4,0.27560606060606063,0.3550173058594241,2.2306395199704148
4,0.28101010101010104,0.3502532401636557,2.2007060123883244
4,0.2864141414141414,0.3455531046526389,2.1711741900037507
4,0.2918181818181818,0.3409160414312934,2.1420386625029297
4,0.2972222222222222,0.33634120411684676,2.1132941119060615
4,0.30262626262626263,0.33182775768434813,2.0849352915966444
