gamma,R,F_bond,T,traversal_time,sigma,V,V_double_prime,stable
0.04020100502512563,0.3197476195086261,0.73970225068852,3.127466598615356,2.335924050597701,0.277388344008195,-1.5425842297282135,-9.245009277888926,False
0.04522613065326633,0.31575581625648985,0.7123428305320878,3.167004211848613,2.3506431202000777,0.2671285614495329,-1.5618149207498389,-9.355115098338217,False
0.05025125628140704,0.3118138475996142,0.6859953552096741,3.207041661870174,2.365454937257109,0.2572482582036278,-1.5812818383862925,-9.466440624398672,False
0.05527638190954774,0.3079210913913833,0.660622395845183,3.247585267645565,2.3803600861868714,0.24773339844194361,-1.600987793747566,-9.578996892738871,False
0.06030150753768844,0.3040769332522035,0.6361879079470407,3.288641428025036,2.395359155089963,0.23857046548014033,-1.6209356290220385,-9.69279496801579,False
0.06532663316582915,0.300280766472538,0.6126571802038665,3.3302166227534737,2.410452735772707,0.22974644257645,-1.6411282177558981,-9.807845940416769,False
0.07035175879396985,0.29653199191715246,0.5899967851740414,3.3723174134930716,2.4256414237705037,0.22124879444026554,-1.6615684651332037,-9.924160923053307,False
0.07537688442211056,0.2928300179305552,0.5681745317991249,3.4149504448589374,2.440925818371326,0.21306544942467187,-1.6822593082565325,-10.0417510492872,False
0.08040201005025126,0.2891742602436187,0.5471594196736621,3.458122445467784,2.4563065226393657,0.2051847823776233,-1.7032037164281324,-10.160627469935037,False
0.08542713567839195,0.28556414188136636,0.5269215950064163,3.5018402289998862,2.47178414343883,0.19759559812740615,-1.7244046914315223,-10.280801350300578,False
0.09045226130653267,0.28199909307191057,0.5074323082104667,3.5461106952744603,2.4873592914578837,0.190287115578925,-1.7458652678134559,-10.402283867217307,False
0.09547738693467336,0.27847855115652803,0.4886638730619244,3.59094083133863,2.503032581232746,0.18324895239822164,-1.7675885131661753,-10.525086205827677,False
0.10050251256281408,0.27500196050085673,0.47058962736924703,3.6363377125701786,2.518804631171935,0.17647111026346762,-1.7895775284098818,-10.649219556329626,False
0.10552763819095477,0.27156877240720295,0.4531838950972823,3.682308503794218,2.534676063580674,0.16994396066148088,-1.8118354480753265,-10.774695110576488,False
0.11055276381909548,0.26817844502794164,0.4364219498922297,3.7288604604139963,2.5506475046854375,0.16365823120958614,-1.8343654405864525,-10.90152405853172,False
0.11557788944723618,0.264830443279999,0.4202799799557088,3.7760009295559858,2.566719584658665,0.15760499248339083,-1.8571707085429814,-11.029717584633374,False
0.12060301507537688,0.2615242387604021,0.4047350542180324,3.823737351229457,2.582892937643625,0.1517756453317622,-1.880254489002869,-11.15928686390788,False
0.12562814070351758,0.2582593096628828,0.389765089762631,3.8720772595007085,2.5991682017794324,0.14616190866098663,-1.9036200537645194,-11.290243058067574,False
0.1306532663316583,0.2550351406955234,0.375348820455353,3.9210282836821353,2.615546019226232,0.14075580767075743,-1.9272707096486643,-11.42259731142741,False
0.135678391959799,0.25185122299942947,0.36146576673407466,3.970598149536345,2.6320270361905282,0.13554966252527798,-1.951209798779807,-11.556360746600546,False
0.1407035175879397,0.2487070540684189,0.34809620651570405,4.020794680495478,2.648611902950692,0.13053607744338902,-1.9754406988671145,-11.691544460109071,False
0.1457286432160804,0.24560213766971287,0.33522114717924995,4.071625798895959,2.66530127388261,0.1257079301922187,-1.9999668234846577,-11.828159517820268,False
0.15075376884422112,0.24253598376561752,0.3228222985851548,4.1230995272288435,2.6820958074855086,0.12105836196943305,-2.024791622350872,-11.966216950226396,False
0.15577889447236182,0.23950810843618275,0.31088204709256384,4.175223989405984,2.698996166407931,0.11658076765971144,-2.0499185816071317,-12.105727747493063,False
0.16080402010050251,0.23651803380282724,0.2993834305376187,4.228007412042195,2.71600301747389,0.11226878645160701,-2.0753512240953027,-12.246702854365935,False
0.1658291457286432,0.2335652879529163,0.28831011413723123,4.28145812575363,2.73311703170917,0.1081162928014617,-2.1010931096341525,-12.389153164995548,False
0.1708542713567839,0.23064940486528185,0.2776463672841059,4.335584566472573,2.7503388843678107,0.10411738773153971,-2.127147835294481,-12.533089517417466,False
0.17587939698492464,0.2277699243366717,0.2673770412000466,4.390395276778852,2.767669254958744,0.10026639045001745,-2.1535190356728395,-12.678522687893064,False
0.18090452261306533,0.22492639190911778,0.2574875474158021,4.445898907248079,2.7851088272726092,0.0965578302809258,-2.1802103831636845,-12.825463385129751,False
0.18592964824120603,0.22211835879821024,0.24796383704687877,4.502104217816946,2.80265828940873,0.09298643889257953,-2.2072255882298357,-12.97392224421128,False
0.19095477386934673,0.2193453818222677,0.2387923808358805,4.559020079165766,2.820318333802267,0.0895471428134552,-2.234568399671067,-13.123909820351628,False
0.19597989949748745,0.21660702333239135,0.22996014993302397,4.616655474118509,2.8380896572515337,0.08623505622488398,-2.262242604890689,-13.27543658243576,False
0.20100502512562815,0.21390285114339258,0.22145459738752676,4.675019499060519,2.855972960945497,0.08304547402032254,-2.29025203015995,-13.428512906331434,False
0.20603015075376885,0.21123243846558254,0.213263640323574,4.7341213653741745,2.873968950491435,0.07997386512134026,-2.3186005408800883,-13.583149067965792,False
0.21105527638190955,0.2085953638374137,0.20537564277554457,4.793970400892677,2.8920783359427844,0.07701586604082922,-2.3472920418418664,-13.739355236211281,False
0.21608040201005024,0.20599121105896193,0.19777939915811166,4.854576051372235,2.9103018318271543,0.07416727468429185,-2.376330477482398,-13.897141465500681,False
0.22110552763819097,0.2034195691262392,0.19046411834773586,4.915947881982852,2.9286401571745153,0.07142404438040093,-2.405719832139092,-14.056517688170288,False
